ID,Title,Abstract,Year,Database,Journal,Screening_Reason,Sample_Size,Gender_Details,Age_Details,Race_Ethnicity_Details,Country_of_Study,Extraction_Notes,Assigned_Categories,Pediatrics (<=18),Young Adult (19-35),Middle-aged (36-60),Senior/Elderly (>60),Not Reported,Age Diversity Index
217,sEMG-Based End-to-End Continues Prediction of Human Knee Joint Angles Using the Tightly Coupled Convolutional Transformer Model,"Wearable exoskeleton robots can promote the rehabilitation of patients with physical dysfunction. And improving human-computer interaction performance is a significant challenge for exoskeleton robots. The traditional feature extraction process based on surface Electromyography(sEMG) is complex and requires manual intervention, making real-time performance difficult to guarantee. In this study, we propose an end-to-end method to predict human knee joint angles based on sEMG signals using a tightly coupled convolutional transformer (TCCT) model. We first collected sEMG signals from 5 healthy subjects. Then, the envelope was extracted from the noise-removed sEMG signal and used as the input to the model. Finally, we developed the TCCT model to predict the knee joint angle after 100 ms. For the prediction performance, we used the Root Mean Square Error(RMSE), Pearson Correlation Coefficient(CC), and Adjustment R2 as metrics to evaluate the error between the actual knee angle and the predicted knee angle. The results show that the model can predict the human knee angle quickly and accurately. The mean RMSE, Adjustment R2, and (CC) values of the model are 3.79??, 0.96, and 0.98, respectively, which are better than traditional deep learning models such as Informer (4.14, 0.95, 0.98), CNN (5.56, 0.89, 0.96) and CNN-BiLSTM (3.97, 0.95, 0.98). In addition, the prediction time of our proposed model is only 11.67 ?? 0.67 ms, which is less than 100 ms. Therefore, the real-time and accuracy of the model can meet the continuous prediction of human knee joint angle in practice.",2023,IEEE,IEEE Journal of Biomedical and Health Informatics,"The study is original empirical research that collected new sEMG data from human participants to develop a predictive model, meeting all inclusion criteria.",5,"4 Males, 1 Female","Range 22-26 years (Subjects' ages: 22, 23, 23, 23, 26). Inclusion criteria specified 18-26 years.",Not reported,China,"Participant demographics were located in the 'Data Acquisition' section under 'II. METHOD'. Specific age and sex details for each of the five subjects were provided in Table I, 'SUBJECTS’ BASIC INFORMATION TABLE'.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",1,1,0,0,0,8
219,Continuous Grasping Force Estimation With Surface EMG Based on Huxley-Type Musculoskeletal Model,"Continuous grasping force estimation based on electromyography (EMG) signals, is very useful in practical applications including prosthetic control and human force observation. However, implementing the practical grasping force estimation usually considers a trade-off between the computational precision and resources. Specifically, the estimation based on the Huxley-type muscle model reaches detailed approximation of physiological process at a cost of larger computational resources for solving nonlinear partial differential equations while the counterpart with a traditional Hill-type muscle model. In this article, we achieve the grasping force estimation based on a reduced Huxley-type musculoskeletal model with high accuracy yet low time delay. Leveraging on a balanced truncation method, we further reduce the dimensionality of the spectral method solution in the Huxley-type musculoskeletal model for the model simplification. In addition, we introduce the Kalman filter method to process the EMG signals obtained by an armband, yielding better real-time performances and accuracy compared to the signal treatment using the traditional EMG filter method. Moreover, we also implement an effective identification of the model parameters using a particle swarm method. Finally, we trained the model on the first day and made grasping force estimation experiments involved with three participants over the course of a month. We envision that this effective and practical method would further improve the practical applications in the field of grasping force estimation.",2023,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,"The study is a primary empirical research article that collected original surface EMG data from human participants to estimate grasping force, fitting all inclusion criteria.",3,Not reported,Not reported,Not reported,China,"The number of participants is stated in the abstract and Section V, 'Grasping Force Estimation Experiment Design and Verification'. No other demographic information such as age, gender, or ethnicity was reported. The country was inferred from the authors' affiliations.","Biomechanics & Kinematics, HCI & Prosthetics",0,0,0,0,1,N/A
220,Decoding of Multiple Wrist and Hand Movements Using a Transient EMG Classifier,"The design of prosthetic controllers by means of neurophysiological signals still poses a crucial challenge to bioengineers. State of the art of electromyographic (EMG) continuous pattern recognition controllers rely on the questionable assumption that repeated muscular contractions produce repeatable patterns of steady-state EMG signals. Conversely, we propose an algorithm that decodes wrist and hand movements by processing the signals that immediately follow the onset of contraction (i.e., the  $\textit {transient}$  EMG). We collected EMG data from the forearms of 14 non-amputee and 5 transradial amputee participants while they performed wrist flexion/extension, pronation/supination, and four hand grasps (power, lateral, bi-digital, open). We firstly identified the combination of wrist and hand movements that yielded the best control performance for the same participant (intra-subject classification). Then, we assessed the ability of our algorithm to classify participant data that were not included in the training set (cross-subject classification). Our controller achieved a median accuracy of ~96% with non-amputees, while it achieved heterogeneous outcomes with amputees, with a median accuracy of ~89%. Importantly, for each amputee, it produced at least one  $\textit {acceptable}$  combination of wrist-hand movements (i.e., with accuracy >85%). Regarding the cross-subject classifier, while our algorithm obtained promising results with non-amputees (accuracy up to ~80%), they were not as good with amputees (accuracy up to ~35%), possibly suggesting further assessments with domain-adaptation strategies. In general, our offline outcomes, together with a preliminary online assessment, support the hypothesis that the transient EMG decoding could represent a viable pattern recognition strategy, encouraging further online assessments.",2023,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,"The study is primary empirical research that collected original surface EMG data from human participants to develop a classifier, published in a peer-reviewed journal in 2023.",19,"5 amputees (3 males), 14 non-amputees (4 females)","Non-amputees: aged 24-34 years. Amputees: aged 30-45 years (individual ages: 45, 32, 43, 40, 30).",Not reported,Italy,"Participant count, age, and gender information were located in the 'Participants and Experimental Protocol' subsection. Specific demographic data for the amputee participants was detailed in Table I.","Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",0,1,1,0,0,21
221,A Novel Approach to Detecting Muscle Fatigue Based on sEMG by Using Neural Architecture Search Framework,"Muscle fatigue detection is of great significance to human physiological activities, but many complex factors increase the difficulty of this task. In this article, we integrate several effective techniques to distinguish muscle states under fatigue and nonfatigue conditions via surface electromyography (sEMG) signals. First, we perform an isometric contraction experiment of biceps brachii to collect sEMG signals. Second, we propose a neural architecture search (NAS) framework based on reinforcement learning to autogenerate neural networks. Finally, we present an effective two-step training strategy to improve the performance by combining CNN with three types of commonly used statistical algorithms. Meanwhile, we propose a data enhancement algorithm based on empirical mode decomposition (EMD) to generate time-series data for expanding the dataset. The results show that this search algorithm can hunt for high-performing networks, and the accuracy of the best-selected model combined with support vector machine (SVM) for the group is 96.5%. With the same architecture, the average accuracy in individual models is 97.8%. The proposed data enhancement technique can effectively improve the fatigue detection performance, which allows further implementations in the human??exoskeleton interaction systems.",2023,IEEE,IEEE Transactions on Neural Networks and Learning Systems,"The study is primary empirical research that collected original sEMG data from human participants to investigate muscle fatigue, meeting all inclusion criteria.",12,12 healthy male volunteers,average age of 23.5 ± 1.8 years,Not reported,China,"Participant demographic information was clearly stated in Section III-A, titled 'Participants'. The text specified the number of subjects, their gender, and their mean age with standard deviation.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,3.6
222,An Electrode Configuration Framework for sEMG-Based Gesture Recognition With Muscle-Matched Layouts,"Gesture recognition via the measurement of surface electromyography (sEMG) has been extensively applied in human??machine interface (HMI) scenarios. Although high-density (HD) electrodes are effective for gesture recognition, channel selection from HD electrodes contributes to computational efficiency and wearable feasibility in practical applications. Nonetheless, the majority of the existing methods prioritize classification accuracy (CA) over operational effectiveness. During the framework implementation, channel forms, the optimization-oriented number of gestures, and the number of trials for optimization and training ( $\text{O}\&\text{T}$ ) are related to the optimized layout and the duration of frameworks. To improve the operational effectiveness, we presented an electrode configuration method to simplify the framework process. The muscle-matched electrode configuration (MEC) method was evaluated on 11 subjects with 11-gesture recognition, and compared with two traditional channel selection methods, i.e., uniform configuration (UNI) and sequential forward searching (SFS) configuration. The experimental results showed that the bipolar channel outperformed the monopolar channel in terms of CA. Further results demonstrated the superiority of MEC in operational effectiveness by reducing the optimization-oriented number of gestures and the  $\text{O}\&\text{T}$ -oriented number of trials. Specifically in the six-channel configuration, SFS required nine-trial and five-gesture optimization to accomplish a comparable CA ( $90.25\% \pm 3.49\%$ ), whereas MEC only took one trial with the same number of gestures optimization to achieve reliable performance ( $92.61\% \pm 5.18\%$ ), which saved nearly 85% of the training time and memory space. Overall, the outcomes of this study provide meaningful guidelines about the efficient configuration framework for sEMG-based gesture recognition in practical applications.",2023,IEEE,IEEE Transactions on Instrumentation and Measurement,"The study presents original sEMG data collected from 11 human participants to evaluate a new electrode configuration framework, meeting all inclusion criteria.",11,nine males and two females,aged from 20 to 30 years old,Not reported,China,"Participant demographic information was located in the 'II. METHODS' section, under subsection 'B. Experiments', paragraph '1) Subjects'. Author affiliations and ethics committee approval also indicate the study was conducted in China.","Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",0,1,0,0,0,10
223,SurfMyoAiR: A Surface Electromyography-Based Framework for Airwriting Recognition,"Airwriting recognition is the task of identifying letters written in free space with finger movement. It is a dynamic gesture recognition with the vocabulary of gestures corresponding to letters in a given language. Electromyography (EMG) is a technique used to record electrical activity during muscle contraction and relaxation as a result of movement and is widely used for gesture recognition. Most of the current research in gesture recognition is focused on identifying static gestures. However, dynamic gestures are natural and user-friendly for being used as alternate input methods in human??computer interaction (HCI) applications. Airwriting recognition using EMG signals recorded from forearm muscles is, therefore, a viable solution. Since the user does not need to learn any new gestures and a large range of words can be formed by concatenating these letters, it is generalizable to a wider population. There has been limited work in recognition of airwriting using EMG signals and forms the core idea of the current work. The SurfMyoAiR dataset comprising of EMG signals recorded during writing English uppercase alphabets is constructed. Several different time-domain features to construct EMG envelope and two different time??frequency image representations: short-time Fourier transform and continuous wavelet transform were explored to form the input to a deep learning model for airwriting recognition. Several different deep learning architectures were exploited for this task. In addition, the effect of various parameters, such as signal length, window length, and interpolation techniques on the recognition performance, is comprehensively explored. The best-achieved accuracy was 78.50% and 62.19% in user-dependent and user-independent scenarios, respectively, by using short-time Fourier transform in conjunction with a 2-D convolutional neural network (CNN)-based classifier. Airwriting has great potential as a user-friendly modality to be used as an alternate input method in HCI applications.",2023,IEEE,IEEE Transactions on Instrumentation and Measurement,"The study is a peer-reviewed, primary empirical research paper from 2023 that collected original surface EMG data from human subjects to develop an airwriting recognition framework, meeting all inclusion criteria.",50,40 male and ten female,average age of 23.12 years,Not reported,India,"Participant demographic information, including sample size, gender, and age, was found in the 'II. MATERIALS AND METHODS' section, under the 'A. EMG Data Collection' subsection. Race and ethnicity were not mentioned.","Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,0
224,Isometric Plantarflexion Moment Prediction Based on a Compartment-Specific HD-sEMG-Driven Musculoskeletal Model,"Objective: electromyogram (EMG)-driven musculoskeletal models have been widely used to investigate human movements while existing EMG-driven models commonly neglect regional heterogeneity in anatomy and activation within a skeletal muscle. To consider neuromuscular compartment anatomy and activation, a subject- and compartment-specific EMG-driven model was developed for isometric plantarflexion moment prediction. Methods: the model was hill-type consisting of gastrocnemius medialis, gastrocnemius lateralis, and soleus around the ankle joint, and each muscle was discretised into four compartments. The moment arms of each compartment were determined using magnetic resonance imaging and the compartment activation was calculated based on high-density surface EMG signals. And the hill-type compartment parameters were tuned in a calibration process. The developed compartment-specific model and a generic EMG-driven model were examined by comparing their predicted net ankle moments with measurements obtained while subjects performed isometric plantarflexion tasks at different contraction levels. Results: compared to the generic EMG-driven model, the isometric plantarflexion moment prediction using the compartment-specific model was more accurate at all contraction levels, with the average prediction error decreasing from average 13.81% to 10.11%. The contraction of each compartment was found to be generally non-uniform at all contraction levels. Conclusion: the developed compartment-specific model enabled accurate prediction of isometric plantarflexion moment and the simulation of non-uniform muscular contraction, which is more physiologically appropriate than the existing EMG-driven models. Significance: the proposed compartment-specific formulation opens new perspectives for subject-specific musculoskeletal modelling, which has great potential in understanding regional characteristics of the neuromuscular activities.",2024,IEEE,IEEE Transactions on Biomedical Engineering,"The study is original empirical research that collects and analyzes new HD-sEMG data from human participants to drive a musculoskeletal model, meeting all inclusion criteria.",2,"1 Female, 1 Male",23 and 28 years old,Not reported,China,"Participant demographic information (sample size, age, gender) was explicitly stated in the first paragraph of the 'B. Experimental Procedures' subsection. The country of study was inferred from author affiliations and ethics approval details.","Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology",0,1,0,0,0,5
225,Comparison of synergy extrapolation and static optimization for estimating multiple unmeasured muscle activations during walking.,"BACKGROUND: Calibrated electromyography (EMG)-driven musculoskeletal models can provide insight into internal quantities (e.g., muscle forces) that are difficult or impossible to measure experimentally. However, the need for EMG data from all involved muscles presents a significant barrier to the widespread application of EMG-driven modeling methods. Synergy extrapolation (SynX) is a computational method that can estimate a single missing EMG signal with reasonable accuracy during the EMG-driven model calibration process, yet its performance in estimating a larger number of missing EMG signals remains unknown. METHODS: This study assessed the accuracy with which SynX can use eight measured EMG signals to estimate muscle activations and forces associated with eight missing EMG signals in the same leg during walking while simultaneously performing EMG-driven model calibration. Experimental gait data collected from two individuals post-stroke, including 16 channels of EMG data per leg, were used to calibrate an EMG-driven musculoskeletal model, providing ""gold standard"" muscle activations and forces for evaluation purposes. SynX was then used to predict the muscle activations and forces associated with the eight missing EMG signals while simultaneously calibrating EMG-driven model parameter values. Due to its widespread use, static optimization (SO) applied to a scaled generic musculoskeletal model was also utilized to estimate the same muscle activations and forces. Estimation accuracy for SynX and SO was evaluated using root mean square errors (RMSE) to quantify amplitude errors and correlation coefficient r values to quantify shape similarity, each calculated with respect to ""gold standard"" muscle activations and forces. RESULTS: On average, compared to SO, SynX with simultaneous model calibration produced significantly more accurate amplitude and shape estimates for unmeasured muscle activations (RMSE 0.08 vs. 0.15, r value 0.55 vs. 0.12) and forces (RMSE 101.3 N vs. 174.4 N, r value 0.53 vs. 0.07). SynX yielded calibrated Hill-type muscle-tendon model parameter values for all muscles and activation dynamics model parameter values for measured muscles that were similar to ""gold standard"" calibrated model parameter values. CONCLUSIONS: These findings suggest that SynX could make it possible to calibrate EMG-driven musculoskeletal models for all important lower-extremity muscles with as few as eight carefully chosen EMG signals and eventually contribute to the design of personalized rehabilitation and surgical interventions for mobility impairments.",2024,PubMed,Journal of NeuroEngineering and Rehabilitation,"The study presents a new computational method (SynX) and validates it using original human experimental data, making it primary empirical research where EMG is a core modality, and it meets all other criteria.",2,2 males,"79 years, 62 years",Not reported,USA,"The participant demographics were found in the 'Methods' section, under the 'Experimental data collection' subsection, which described the two subjects (S1 and S2).","Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics",0,0,0,1,0,17
226,Ergonomic differences in mesh placement and mesh fixation between laparoscopic and robotic inguinal hernia repair with mesh.,"PURPOSE: General differences in surgeon ergonomics between laparoscopic and robotic-assisted inguinal hernia repairs (LIHR vs. RIHR) have been previously studied. However, specific differences in the ergonomics of mesh placement (MP) and mesh fixation (MF) are undetermined. Our aim was to determine if there are differences in the ergonomics of MP and MF between the surgical approaches. We hypothesize that we will identify differences, with the potential for worse ergonomics during LIHR. METHODS: Data was collected from fifteen LIHR and fifteen RIHR. All cases were elective, primary inguinal hernias completed by a fellowship-trained minimally invasive surgeon. Surface electromyography (EMG) of four upper extremity muscle groups, including the upper trapezius (UT), anterior deltoid (AD), flexor carpi radialis (FCR) and extensor digitorum (ED), was recorded bilaterally during MP and MF. Muscle activation as a percent of maximum voluntary contraction (%MVC(RMS)) and muscle fatigue denoted as the median frequency of muscle activations (Fmed) were calculated for each muscle. RESULTS: EMG analysis showed increased %MVC(RMS) in LIHR compared to RIHR cases, with significant findings in the left UT, right UT, ED, and FCR for MP and MF and the left FCR during MP. Muscle fatigue was decreased in LIHR compared to RIHR cases, with significant differences in left FCR and right ED and AD. CONCLUSION: Despite greater muscle activations during LIHR, RIHR had greater muscle fatigue. It is possible that short periods of high muscle activation are ergonomically protective during minimally invasive inguinal hernia repair. Identifying these differences may aid in development of procedure-specific interventions to improve ergonomics.",2024,PubMed,Hernia,"The study is primary empirical research using surface EMG as a core data collection modality on human surgeons, published in English in 2024.",4,"2 male, 2 female",Not reported,Not reported,USA,"The participants for the EMG analysis were four surgeons, and their demographic information was found in the 'Results' section under the 'Subjects and cases' subheading. Demographic data for the patients involved in the surgeries was also provided but is distinct from the study participants.",Sports & Ergonomics,0,0,0,0,1,N/A
227,A comparison of abductor hallucis muscle activation and medial longitudinal arch angle during nine different foot exercises.,"BACKGROUND: Intrinsic foot muscles are known to support the medial longitudinal arch (MLA) and stabilize the foot, and they are activated with weight bearing and increased postural demand. Various types of intrinsic foot muscle training have been reported, but one of the most useful of these, the short foot exercise, is challenging to perform effectively and requires practice, making it difficult to implement in ordinary clinical settings. RESEARCH QUESTION: What are the differences in abductor hallucis longus (ABH) muscle activity and MLA angle during intrinsic foot muscle exercises that employ weight bearing and balancing conditions when they are performed with minimal practice? METHODS: Sixteen healthy volunteers performed nine different intrinsic foot muscle exercises, practiced once or twice. The exercises consisted of toe curl, short foot without pushing, short foot with pushing and toe spread exercises in sitting and standing positions, and single leg swing in a standing position. Each exercise was performed three times for five seconds. The activities of the ABH muscles were measured using surface electromyographic (EMG) sensors and the MLA angles during the exercises were captured using an optical motion tracking system. The integrals of the ABH EMG signals were calculated. RESULTS: Differences in the integral and maximum of the ABH EMG signal were found between the exercises (p < 0.001). Post-hoc pair-wise analysis revealed that the EMG activity was larger during the swing exercise than in exercises other than toe spread, both in sitting and standing positions, and short foot exercise with pushing while standing. The minimum MLA angle during each exercise was smaller for the toe spread exercise in a sitting position than other exercises (p < 0.023). SIGNIFICANCE: A single leg swing exercise may be effective for self-exercise of intrinsic foot muscles, particularly when intensive supervised physiotherapy is not possible.",2024,PubMed,Gait & Posture,"The study is a primary empirical investigation collecting original surface EMG data from human participants to compare different exercises, and it was published in 2024.",16,12 males and 4 females,31 ± 6 years old,Not reported,United Kingdom,"Participant demographic data, including sample size, age, and gender, was found in the first sentence of the '2.1. Participants' section. Race and ethnicity were not mentioned.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",0,1,1,0,0,12
228,Endurance and electromyographic assessment of abdominopelvic motor control in women with primary dysmenorrhea: a cross-sectional study.,"Primary dysmenorrhea (PD), a prevalent menstrual condition characterized by pelvic pain during the menstrual cycle, significantly impacts the quality of life of women and produces increased pain sensitivity that can persist throughout the menstrual cycle. However, scientific literature has not studied whether there are implications for alterations in muscle function and endurance in the abdominopelvic region during the non-painful phases of the menstrual cycle. The aim of this study was to compare muscle function and endurance capacity in the abdominopelvic region in women with PD versus women without this condition. An observational, cross-sectional study was designed to analyze muscle activation and endurance capacity using electromyography (EMG) during McGill exercises. Forty-four women were included, 22 with PD and 22 without dysmenorrhea. The results did not indicate significant differences in muscle activation and endurance of the abdominopelvic musculature between the two groups (p??>??0.05). However, the analysis suggests that women with primary dysmenorrhea might develop compensatory strategies that allow them to maintain physical function despite their condition. These results suggest that the approach to PD could focus more on pain management rather than physical functionality, and more studies are needed from a comprehensive approach to more accurately evaluate the relationship between PD and muscle function.",2024,PubMed,Scientific Reports,"The paper is original empirical research published in 2024 using surface EMG as a core modality to study muscle function in human participants, meeting all inclusion criteria.",44,44 female participants,Mean 26.16 ± 6.97 years,Not reported,Spain,"Participant demographics including sample size, gender, and age were detailed in the 'Results' section. The country of the study was specified in the 'Materials and methods' section. Race and ethnicity were not reported.","Clinical & Diagnostic, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,13.94
229,supDQN: Supervised Rewarding Strategy Driven Deep Q-Network for sEMG Signal Decontamination,"The presence of muscles throughout the active parts of the body, such as the upper and lower limbs, makes electromyography-based human-machine interaction prevalent. However, muscle signals are stochastic and noisy, with noises being both regular and irregular. Irregular noises due to movements or electrical switching require dynamic filtering. Conventionally, filters are stacked, which unnecessarily trims and delays the signal. This study introduces a decontamination technique involving a supervised rewarding strategy to drive a deep Q-network-based agent (supDQN). It applies one of three filters to decontaminate a 1 sec long surface electromyography signal, which is dynamically contaminated. A machine learning agent identifies whether the signal after filtering is clean or noisy, generating a reward accordingly. The identification accuracy is enhanced by using a local interpretable model-agnostic explanation. The deep Q-network is guided by this reward to select the filter optimally while decontaminating a signal. The proposed filtering strategy is tested on four noise levels (???5 dB, ???1 dB, +1 dB, +5 dB). supDQN filters the signal desirably when the signal-to-noise ratio (SNR) is between -5 dB to +1 dB but filters less desirably at high SNR (+5 dB). A normalized root mean square ( $\Omega $ ) is formulated to depict the difference of the filtered signal from the ground truth. This is used to compare supDQN and conventional methods, including wavelet denoising with debauchies and symlet wavelet, high-order low-pass filter, notch filter, and high-pass filter. The proposed filtering strategy gives an average  $\Omega $  value of 1.1974, which is lower than that of the conventional filters.",2024,IEEE,IEEE Access,"The study presents primary empirical research involving original sEMG data collection from human participants to develop and validate a new signal decontamination method, meeting all inclusion criteria.",1,Not reported,Not reported,Not reported,India,"The country of study was inferred from the authors' affiliations and the ethics approval from the Institute Ethics Committee (IEC) MNIT Jaipur. The paper does not explicitly state the number of participants, their age, gender, or ethnicity, only mentioning 'the subject' and 'adult participants'.","Biomechanics & Kinematics, HCI & Prosthetics",0,0,0,0,1,N/A
230,Reducing Motor Variability Enhances Myoelectric Control Robustness Across Untrained Limb Positions,"The limb position effect is a multi-faceted problem, associated with decreased upper-limb prosthesis control acuity following a change in arm position. Factors contributing to this problem can arise from distinct environmental or physiological sources. Despite their differences in origin, the effect of each factor manifests similarly as increased input data variability. This variability can cause incorrect decoding of user intent. Previous research has attempted to address this by better capturing input data variability with data abundance. In this paper, we take an alternative approach and investigate the effect of reducing trial-to-trial variability by improving the consistency of muscle activity through user training. Ten participants underwent 4 days of myoelectric training with either concurrent or delayed feedback in a single arm position. At the end of training participants experienced a zero-feedback retention test in multiple limb positions. In doing so, we tested how well the skill learned in a single limb position generalized to untrained positions. We found that delayed feedback training led to more consistent muscle activity across both the trained and untrained limb positions. Analysis of patterns of activations in the delayed feedback group suggest a structured change in muscle activity occurs across arm positions. Our results demonstrate that myoelectric user-training can lead to the retention of motor skills that bring about more robust decoding across untrained limb positions. This work highlights the importance of reducing motor variability with practice, prior to examining the underlying structure of muscle changes associated with limb position.",2024,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,The study is original empirical research that uses sEMG as a core modality to investigate myoelectric control in human participants and was published in English in 2024.,10,"2 female, 8 male",Not reported,Not reported,U.K.,Participant count and gender were reported in the 'Methods > A. Participants' section. Age and race/ethnicity were not mentioned in the paper.,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",0,0,0,0,1,N/A
231,Force Myography for Motion Intention Detection Based on 3D-Printed Piezoelectric Sensors,"Recognizing human movement intention is key to control wearable robotics for assistance, such as in the elderly and rehabilitation. Piezoelectric sensors, in particular highly sensitive ferroelectrets (FEs), qualify for the assessment of subtle muscle movements using force myography (FMG). In contrast to electromyography (EMG), which measures electrical muscle activity, FMG measures the mechanical muscle response to overcome issues in electrode placement and skin preparation. We employ 3D-printed polypropylene FE sensor patches for FMG adjacent to EMG electrodes as a reference at the lower limb of six young unimpaired participants performing sit-to-stand movements. The activity onsets of FMG and EMG are systematically compared at the quadriceps femoris and visually verified using a high-speed camera. The average time difference (35 $\pm$ 50 ms) aligns with the known electromechanical muscle delay. Notably, our results demonstrate that FMG can provide an early indicator for the activity onset significantly before the EMG (on average 263 $\pm$ 90 ms earlier) in this scenario due to the possibility to measure passive muscle deformation. In addition, the signal-to-noise ratio of the FE signal (53 dB) exceeds that of the EMG (39 dB) during the maximum muscle activity, while the average variability is slightly larger for FE (22%) compared to EMG (17%). In conclusion, our customizable FE sensors prove to be suitable for motion intention detection and promise an advance in wearable assistive devices, such as active prostheses and exoskeletons, to support people in need.",2024,IEEE,IEEE Sensors Letters,The study is original empirical research from 2024 collecting new EMG data from human participants as a core reference modality to validate a new sensor.,6,"two female, four male",24.5 ± 2.4 years,Not reported,Germany,Participant demographic information was found in the 'Experimental Protocol' subsection of the 'Methods' section. The country of study was inferred from the authors' affiliations and the location of the ethics committee.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics",0,1,0,0,0,4.8
232,Post-Activation-Performance Enhancement: Possible Contributing Factors.,"This study aimed to narrow down the possible mechanisms of Post-Activation Performance Enhancement (PAPE), especially if they are exclusively found in the muscle. It was therefore investigated whether (1) the PAPE effect is influenced by neural factors and (2) if Post-Activation-Potentiation (PAP) influences PAPE. Thirteen strength-trained participants (26.5 ?? 3.2 years) took part in at least one of three interventions (PAP, PAPE-Electrical (PAPEE), and PAPE-Voluntary (PAPEV)). Conditioning contractions (CC) and testing involved isometric knee extensions performed on an isokinetic device at an 80?? knee flexion angle. The CC was either performed voluntarily (PAP, PAPEV) or was evoked through electrical stimulation (PAPEE). Testing was performed at baseline and after two seconds, four minutes, eight minutes, and twelve minutes of the CC. Maximum voluntary isometric contractions (MVIC) for the PAPE trials and supramaximal twitches for the PAP trial were used for testing. Parameters of interest were peak torque and rate of torque development (RTD), and electromyography (EMG) amplitude of the quadriceps (only PAPE). Repeated measures ANOVA and simple contrast comparisons were used for statistical analysis. Peak torque (p < 0.001, ??(2)(p) = 0.715) and RTD (p = 0. 005, ??(2)(p) = 0.570) increased significantly during the PAP protocol immediately two seconds after the CC and decreased to near baseline values for the following time points (p > 0.05). Peak torque, RTD, and peak EMG showed no significant differences during PAPEE and PAPEV trials (p > 0.05). Due to the lack of a visible PAPE effect, the question of whether neural mechanisms influence PAPE cannot be answered. Due to the time course of the PAP analysis, it is questionable if these mechanisms play a role in PAPE. The assumption that the PAP mechanism influences PAPE cannot be confirmed for the same reason.",2024,PubMed,Journal of Sports Science and Medicine,"The study is primary empirical research from 2024 using EMG as a core modality to collect original data from human participants, meeting all inclusion criteria.",13,Male,"Mean 26.5 ± 3.2 years, range 25-35 years",Not reported,Germany,Participant demographic information was found in the abstract and the 'Participants' subsection of the 'Methods' section. The country of study was inferred from the authors' affiliations and the ethics committee approval location.,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics",0,1,0,0,0,10
234,Comparing and characterizing scapular muscle activation ratios in males and females during execution of common functional movements.,"BACKGROUND: The shoulder complex relies on scapular movement controlled by periscapular muscles for optimal arm function. However, minimal research has explored scapular muscle activation ratios during functional tasks, nor how they might be influenced by biological sex. This investigation aims to characterize how sex impacts scapular muscle activation ratios during functional tasks. METHODS: Twenty participants (ten females, ten males) were assessed with surface electromyography (EMG) and motion tracking during seven functional tasks. Activation ratios were calculated from normalized EMG for the three trapezius muscles and serratus anterior. Scapular angles were calculated using a YXZ Euler sequence. Two-way mixed methods ANOVAs (p??<??.05) were used to assess the effects of sex and humeral elevation level on ratios and angles. RESULTS: Sex-based differences were present in the Tie Apron task, with males exhibiting higher upper trapezius/lower trapezius and upper trapezius/middle trapezius ratios than females. Males also demonstrated decreased internal rotation in this task. Other tasks showcased significant sex-based differences in scapular upward rotation but not in activation ratios. Humeral elevation generally demonstrated an inverse relationship with scapular muscle activation ratios. CONCLUSIONS: This study highlights sex-based differences in scapular muscle activation ratios during specific functional tasks, emphasizing the need to consider sex in analyses of shoulder movements. Normative activation ratios for functional tasks were provided, offering a foundation for future comparisons with non-normative groups. Further research is warranted to confirm and explore additional influencing factors, advancing our understanding of shoulder activation and movement in diverse populations.",2024,PubMed,PeerJ,"The study is a peer-reviewed, primary empirical research article from 2024 that uses surface EMG as a core modality to collect original data from human participants.",20,"10 Females, 10 Males",Mean 24 ± 2 years,Not reported,Canada,"The primary demographic information, including sample size, sex, and age, was located in the first paragraph of the 'Participants' subsection within the 'MATERIALS & METHODS' section. Race and ethnicity were not reported in the paper.",Biomechanics & Kinematics,0,1,0,0,0,4
