ID,Title,Assigned_Categories
205,Electromyographic Assessment of the Efficacy of Deep Dry Needling versus the Ischemic Compression Technique in Gastrocnemius of Medium-Distance Triathletes.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
206,Electromyographic comparison of vastus medialis obliquus facilitatory versus vastus lateralis inhibitory kinesio taping in athletes with patellofemoral pain: A randomized clinical trial.,"Clinical & Diagnostic, Biomechanics & Kinematics"
207,Sensing and decoding the neural drive to paralyzed muscles during attempted movements of a person with tetraplegia using a sleeve array.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
208,Non-Invasive Analysis of Motor Unit Activation During Simultaneous and Continuous Wrist Movements,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
209,Unknown Motion Rejection in Myoelectric Pattern Recognition Using Convolutional Prototype Network,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
210,The Influence of Training With Visual Biofeedback on the Predictability of Myoelectric Control Usability,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
211,Effect of Core Stability Training on Correction and Surface Electronic Signals of Paravertebral in Adolescent Idiopathic Scoliosis.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
212,Double-Differential Amplifier for sEMG Measurement by Means of a Current-Mode Approach,"HCI & Prosthetics, Sports & Ergonomics"
214,Neuromorphic Edge Computing for Biomedical Applications: Gesture Classification Using EMG Signals,"HCI & Prosthetics, Neurophysiology"
215,The Effect of Fu's Subcutaneous Needling Combined with Reperfusion Approach on Surface Electromyography Signals in Patients with Cervical Spondylosis and Neck Pain: A Clinical Trial Protocol.,"Clinical & Diagnostic, Rehabilitation & Therapy"
216,Design and Validation of a Wireless Body Sensor Network for Integrated EEG and HD-sEMG Acquisitions,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
217,sEMG-Based End-to-End Continues Prediction of Human Knee Joint Angles Using the Tightly Coupled Convolutional Transformer Model,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
219,Continuous Grasping Force Estimation With Surface EMG Based on Huxley-Type Musculoskeletal Model,"Biomechanics & Kinematics, HCI & Prosthetics"
220,Decoding of Multiple Wrist and Hand Movements Using a Transient EMG Classifier,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
221,A Novel Approach to Detecting Muscle Fatigue Based on sEMG by Using Neural Architecture Search Framework,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
222,An Electrode Configuration Framework for sEMG-Based Gesture Recognition With Muscle-Matched Layouts,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
223,SurfMyoAiR: A Surface Electromyography-Based Framework for Airwriting Recognition,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
224,Isometric Plantarflexion Moment Prediction Based on a Compartment-Specific HD-sEMG-Driven Musculoskeletal Model,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
225,Comparison of synergy extrapolation and static optimization for estimating multiple unmeasured muscle activations during walking.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
226,Ergonomic differences in mesh placement and mesh fixation between laparoscopic and robotic inguinal hernia repair with mesh.,Sports & Ergonomics
227,A comparison of abductor hallucis muscle activation and medial longitudinal arch angle during nine different foot exercises.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
228,Endurance and electromyographic assessment of abdominopelvic motor control in women with primary dysmenorrhea: a cross-sectional study.,"Clinical & Diagnostic, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
229,supDQN: Supervised Rewarding Strategy Driven Deep Q-Network for sEMG Signal Decontamination,"Biomechanics & Kinematics, HCI & Prosthetics"
230,Reducing Motor Variability Enhances Myoelectric Control Robustness Across Untrained Limb Positions,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
231,Force Myography for Motion Intention Detection Based on 3D-Printed Piezoelectric Sensors,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
232,Post-Activation-Performance Enhancement: Possible Contributing Factors.,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
234,Comparing and characterizing scapular muscle activation ratios in males and females during execution of common functional movements.,Biomechanics & Kinematics
235,Deventilation Syndrome in Patients with Chronic Obstructive Pulmonary Disease Using Nocturnal Noninvasive Ventilation: What Are the Underlying Mechanisms?,Clinical & Diagnostic
236,Effects of combining rTMs and augmented reality gait adaptive training on walking function of patients with stroke based on three-dimensional gait analysis and sEMG: a randomized controlled trial.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
237,Neuromuscular activation following anti-movement and dynamic core training: a randomized controlled comparative study.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
238,The Effects of Verbal Cues on Electromyographic Activity During a Quadriceps Setting Exercise.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology"
239,"The Effect of The 8-Week Core Muscle Training in Swimming Time, Swimming Force and Core Muscle Activity Among Swimmers: A Randomized Controlled Trial.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
240,Comparison of subdermal needle and surface adhesive electrodes for intraoperative neuromonitoring during spine surgeries.,"Clinical & Diagnostic, Sports & Ergonomics"
241,Noninvasive and Quantitative Measurement of Intrinsic Laryngeal Muscle Activity Using Surface Electromyography,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
242,Improving Electromyography Electrode Placement Accuracy in Transtibial Amputees: A Comparative Study of Ultrasound and Palpation Methods,HCI & Prosthetics
243,Three sets of low-intensity resistance exercises with slow movement and tonic force generation cause more muscular fatigue.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
244,Development of a Waterproof EMG Sensor for Improved Signal Quality by Using Load Balancing,"Biomechanics & Kinematics, HCI & Prosthetics"
245,Comparing muscle coordination patterns in yoga-focused exercises with those in standard stabilization exercises.,Clinical & Diagnostic
246,Simultaneous Estimation of Wrist Joint Angle and Torque During Isokinetic Contraction Based on HD-sEMG,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
247,A Comparative Case Study of EMG-Driven Controllers in Transtibial Prostheses.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
248,An Improved Compound Gaussian Model for Bivariate Surface EMG Signals Related to Strength Training,"Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
250,GTac-SE: A Low-Density Intention Sensing for Forearm Exoskeleton With Shear Force Sensors,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
251,The Changes in Synergistic Patterns of Peri-Shoulder Muscles During Shoulder Abduction and Flexion in Patients With Rotator Cuff Tears,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
252,A New Intelligent Recognition Method for Surface Electromyography in IoT Systems Using OmniXceptionDBN,"HCI & Prosthetics, Neurophysiology"
253,Multifocal transcranial direct current stimulation enhances lower limb jump performance and neuromuscular adaptation in female collegiate basketball players.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
254,Lower Limb Joints Torques Continuous Estimate Model Based on Muscle Synergy for Patients With Motor Dysfunction,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
255,Does transferred medial gastrocnemius flap help with knee extension during gait following proximal tibial endoprosthesis?,"Clinical & Diagnostic, Biomechanics & Kinematics"
256,Tracheal intubation in the thyroid surgical position improves recurrent laryngeal nerve monitoring: a dual-center randomized trial.,Clinical & Diagnostic
257,Efficacy of Action Observation Therapy on Patients with Dysphagia After Stroke: A Randomized Controlled Trial.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
258,A clinical diagnosis of diurnal (non-sleep) bruxism in denture wearers.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
259,EMG and strength correlates of selected shoulder muscles during rotations of the glenohumeral joint.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
260,Effects of endodontic instrument handle diameter on electromyographic activity of forearm and hand muscles.,Sports & Ergonomics
262,Abdominal muscle activation of elite male golfers with chronic low back pain.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
263,A new approach of measuring muscle impairment during a functional task: quadriceps muscle activity recorded during chair stand.,"Clinical & Diagnostic, Biomechanics & Kinematics, Sports & Ergonomics"
264,Recording nasal muscle F waves and electromyographic activity of the facial muscles: a comparison of two methods used for intraoperative monitoring of facial nerve function.,"Clinical & Diagnostic, Biomechanics & Kinematics"
265,Musical beat influences corticospinal drive to ankle flexor and extensor muscles in man.,Neurophysiology
267,Changes in the surface EMG signal and the biomechanics of motion during a repetitive lifting task.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
269,Transcutaneous electrogastrography in the perioperative period in patients undergoing laparoscopic cholecystectomy and laparoscopic non-adjustable gastric banding.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
270,Muscle activation pattern and gait biomechanics after total knee replacement.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
271,A fast and reliable technique for muscle activity detection from surface EMG signals,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
272,Can continuous physical training counteract aging effect on myoelectric fatigue? A surface electromyography study application.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
273,Dynamic synchronisation of central oscillators in essential tremor.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
274,The association between upper trapezius activity and thorax movement in classical singing.,"Biomechanics & Kinematics, Sports & Ergonomics"
275,Mechanomyographic and electromyographic time and frequency domain responses during submaximal to maximal isokinetic muscle actions of the biceps brachii.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
276,Muscle-fiber conduction velocity and electromyography as diagnostic tools in patients with suspected inflammatory myopathy: a prospective study.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
278,Superficial motor units are larger than deeper motor units in human vastus lateralis muscle.,"Neurophysiology, Sports & Ergonomics"
279,Measurement of neural respiratory drive in patients with COPD.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
280,Evaluation of the complexity of motor unit potentials in anal sphincter electromyography.,"Clinical & Diagnostic, Neurophysiology"
281,Biofeedback training of nasal muscles using internal and external surface electromyography of the nose.,"Clinical & Diagnostic, Rehabilitation & Therapy"
282,Surface EMG measurements during fMRI at 3T: accurate EMG recordings after artifact correction.,Biomechanics & Kinematics
283,On the errors in assessment of severity of involuntary movements using surface EMG.,Biomechanics & Kinematics
285,Seronegative myasthenia gravis: comparison of neurophysiological picture in MuSK+ and MuSK- patients.,Clinical & Diagnostic
286,Kinematic analysis of motor dysfunction in Niemann-Pick type C.,"Clinical & Diagnostic, Biomechanics & Kinematics"
287,"Electromyographic activity of masticatory, neck and trunk muscles of subjects with different skeletal facial morphology--a cross-sectional evaluation.",Biomechanics & Kinematics
288,Effects of two days of isokinetic training on strength and electromyographic amplitude in the agonist and antagonist muscles.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
289,Force enhancement during and following muscle stretch of maximal voluntarily activated human quadriceps femoris.,Biomechanics & Kinematics
290,Effects of movement imagery and electromyography-triggered feedback on arm hand function in stroke patients in the subacute phase.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
291,"Are there differences in performance, metabolism, and quadriceps muscle activity in black African and Caucasian athletes during brief intermittent and intense exercise?","Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
292,Comparison of EMG activity between maximal manual muscle testing and cybex maximal isometric testing of the quadriceps femoris.,Biomechanics & Kinematics
293,Rapid muscle activation and force capacity in conditions of chronic musculoskeletal pain.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
294,No difference in 1RM strength and muscle activation during the barbell chest press on a stable and unstable surface.,"Biomechanics & Kinematics, Rehabilitation & Therapy"
295,Real-time monitoring of the recurrent laryngeal nerve: an observational clinical trial.,Clinical & Diagnostic
296,Electromyographic facial nerve monitoring during parotidectomy for benign lesions does not improve the outcome of postoperative facial nerve function: a prospective two-center trial.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
297,Effects of dynamic and static stretching on vertical jump performance and electromyographic activity.,"Clinical & Diagnostic, Biomechanics & Kinematics, Sports & Ergonomics"
298,Novel and direct access to the human locomotor spinal circuitry.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
299,Immediate effects of a high-velocity spine manipulation in paraspinal muscles activity of nonspecific chronic low-back pain subjects.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
300,Physical performance and electromyographic responses to an acute bout of paired set strength training versus traditional strength training.,"Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
301,Oxycodone and dexamethasone for pain management after tonsillectomy: a placebo-controlled EMG assessed clinical trial.,"Clinical & Diagnostic, HCI & Prosthetics"
302,Selective strength loss and decreased muscle activity in hamstring injury.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
303,Comparison of neck tension palpation rating systems with surface electromyographic and acoustic measures in vocal hyperfunction.,"Clinical & Diagnostic, Rehabilitation & Therapy"
304,Influence of priming exercise on muscle deoxy[Hb + Mb] during ramp cycle exercise.,"Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
305,Task-dependent changes of motor cortical network excitability during precision grip compared to isolated finger contraction.,"Biomechanics & Kinematics, Neurophysiology"
306,Raised electrical uterine activity and shortened cervical length could predict preterm delivery in a low-risk population.,HCI & Prosthetics
307,Validation of a Selective Ensemble-Based Classification Scheme for Myoelectric Control Using a Three-Dimensional Fitts' Law Test,"HCI & Prosthetics, Sports & Ergonomics"
308,Stable tooth contacts in intercuspal occlusion makes for utilities of the jaw elevators during maximal voluntary clenching.,"Biomechanics & Kinematics, Sports & Ergonomics"
309,Muscle activation and coactivation during five-time-sit-to-stand movement in patients undergoing total knee arthroplasty.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
310,Treatment efficacy of electromyography versus fiberscopy-guided botulinum toxin injection in adductor spasmodic dysphonia patients: a prospective comparative study.,Clinical & Diagnostic
311,"The effects of Kinesio taping on muscle tone in healthy subjects: a double-blind, placebo-controlled crossover trial.","Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
312,A preliminary evaluation of the surgery to reconstruct thoracic breathing in patients with high cervical spinal cord injury.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
313,Chin tuck against resistance (CTAR): new method for enhancing suprahyoid muscle activity using a Shaker-type exercise.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
314,EMG of the tibialis anterior demonstrates a training effect after utilization of a foot drop stimulator.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
315,"Intuitive, Online, Simultaneous, and Proportional Myoelectric Control Over Two Degrees-of-Freedom in Upper Limb Amputees","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
316,Actigraphy combined with EEG compared to polysomnography in sleep apnea patients.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
317,Effect of lace-up ankle braces on electromyography measures during walking in adults with chronic ankle instability.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
318,"Anti-fatigue mats, low back pain, and electromyography: An interventional study.","Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
319,Surface EMG Decomposition Based on K-means Clustering and Convolution Kernel Compensation,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
320,High-Density Electromyography and Motor Skill Learning for Robust Long-Term Control of a 7-DoF Robot Arm,HCI & Prosthetics
321,Implementation of EMG- and Force-Based Control Interfaces in Active Elbow Supports for Men With Duchenne Muscular Dystrophy: A Feasibility Study,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
322,Neuromuscular performance of Bandal Chagui: Comparison of subelite and elite taekwondo athletes.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
323,Cascaded Adaptation Framework for Fast Calibration of Myoelectric Control,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
324,Comparing electro- and mechano-myographic muscle activation patterns in self-paced pediatric gait.,"Clinical & Diagnostic, Biomechanics & Kinematics"
325,Does short-term gluteal activation enhance muscle performance?,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
326,Electromyographic analysis of gluteus maximus and hamstring activity during the supine resisted hip extension exercise versus supine unilateral bridge to neutral.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
327,Correlation and compatibility between surface respiratory electromyography and transesophageal diaphragmatic electromyography measurements during treadmill exercise in stable patients with COPD.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology"
328,Application of Empirical Mode Decomposition Combined With Notch Filtering for Interpretation of Surface Electromyograms During Functional Electrical Stimulation.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
329,Gait analysis on force treadmill in children: comparison with results from ground-based force platforms.,"Biomechanics & Kinematics, Rehabilitation & Therapy"
330,An EMG-to-Force Processing Approach for Estimating in Vivo Hip Muscle Forces in Normal Human Walking,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
331,Myoelectric Activation Pattern Changes in the Involved Limb of Individuals With Transtibial Amputation During Locomotor State Transitions.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics"
332,Ischemic conditioning increases strength and volitional activation of paretic muscle in chronic stroke: a pilot study.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
334,Classification of Transient Myoelectric Signals for the Control of Multi-Grasp Hand Prostheses,"Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
335,Abdominal and pelvic floor electromyographic analysis during abdominal hypopressive gymnastics.,Biomechanics & Kinematics
336,Evaluation of integral electromyographic values and median power frequency values in women with myogenous temporomandibular disorder and asymptomatic controls.,"Clinical & Diagnostic, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
337,IMU-Based Wrist Rotation Control of a Transradial Myoelectric Prosthesis,"Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
338,sEMG-Based Detection of Compensation Caused by Fatigue During Rehabilitation Therapy: A Pilot Study,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
339,Revisited relationships between probable sleep bruxism and clinical muscle symptoms.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
341,Online Finger Control Using High-Density EMG and Minimal Training Data for Robotic Applications,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
342,Acute skeletal muscle responses to very low-load resistance exercise with and without the application of blood flow restriction in the upper body.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
343,Surface Electromyography Based Estimation of Knee Joint Angle by Using Correlation Dimension of Wavelet Coefficient,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
344,Research on Recognition of Nine Kinds of Fine Gestures Based on Adaptive AdaBoost Algorithm and Multi-Feature Combination,HCI & Prosthetics
345,Effects of the head lift exercise and neuromuscular electrical stimulation on swallowing muscles activity in healthy older adults: a randomized pilot study.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology"
346,The Effect of Feedback During Training Sessions on Learning Pattern-Recognition-Based Prosthesis Control,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
347,EMG-Force and EMG-Target Models During Force-Varying Bilateral Hand-Wrist Contraction in Able-Bodied and Limb-Absent Subjects,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
348,Resilient EMG Classification to Enable Reliable Upper-Limb Movement Intent Detection,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
349,A Novel Postprocessing Method for Robust Myoelectric Pattern-Recognition Control Through Movement Pattern Transition Detection,"Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
350,A Novel Point-in-Polygon-Based sEMG Classifier for Hand Exoskeleton Systems,"Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
351,Unsupervised Domain Adversarial Self-Calibration for Electromyography-Based Gesture Recognition,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
352,"Effects of Chewing Exerciser on the Recovery of Masticatory Function Recovery after Orthognathic Surgery: A Single-Center Randomized Clinical Trial, a Preliminary Study.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
353,The Application of Manual Techniques in Masticatory Muscles Relaxation as Adjunctive Therapy in the Treatment of Temporomandibular Joint Disorders.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
354,"Effect of two Dynamic Tape™ applications on the electromyographic activity of the gluteus medius and functional performance in women: A randomized, controlled, clinical trial.","Clinical & Diagnostic, Biomechanics & Kinematics, Sports & Ergonomics"
355,A Dual-Modal Approach Using Electromyography and Sonomyography Improves Prediction of Dynamic Ankle Movement: A Case Study,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
356,"Effects of combined whole body vibration and resistance training on lower quadrants electromyographic activity, muscle strength and power in athletes.","Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
357,"Wearable myoelectric interface enables high-dose, home-based training in severely impaired chronic stroke survivors.","Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
358,The Effect of Fatigue on Wheelchair Users’ Upper Limb Muscle Coordination Patterns in Time-Frequency and Principal Component Analysis,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
359,Effect of Robotic Exoskeleton Motion Constraints on Upper Limb Muscle Synergies: A Case Study,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
360,Effect of electromyographic biofeedback training on motor function of quadriceps femoris in patients with incomplete spinal cord injury: A randomized controlled trial.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
361,Effects of Comprehensive Swallowing Intervention on Obstructive Sleep Apnea and Dysphagia After Stroke: A Randomized Controlled Trial.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
362,Measuring Neuromuscular Electrophysiological Activities to Decode HD-sEMG Biometrics for Cross-Application Discrepant Personal Identification With Unknown Identities,"Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
363,"Effect of Foot Reflexology on Muscle Electrical Activity, Pressure, Plantar Distribution, and Body Sway in Patients with Type 2 Diabetes Mellitus: A Pilot Randomized Controlled Trial.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
364,5-HT(2) receptor antagonism reduces human motoneuron output to antidromic activation but not to stimulation of corticospinal axons.,Neurophysiology
365,An Evaluation of an Innovative Exercise to Relieve Chronic Low Back Pain in Sedentary Workers.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
366,Electrode Shift Robust CNN for High-Density Myoelectric Pattern Recognition Control,"HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
367,"Emotion Recognition With Audio, Video, EEG, and EMG: A Dataset and Baseline Approaches","HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
368,Silent Speech Recognition Based on Surface Electromyography Using a Few Electrode Sites Under the Guidance From High-Density Electrode Arrays,"HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
369,Impact of resistance training on muscle fatigue in type 2 diabetes mellitus patients during dynamic fatigue protocol.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
370,A Novel and Efficient Surface Electromyography Decomposition Algorithm Using Local Spatial Information,"HCI & Prosthetics, Neurophysiology"
371,A Novel Lower-Limb Coordination Assessment Scheme Using Multi-Scale Nonlinear Coupling Characteristics With sEMG,"Clinical & Diagnostic, HCI & Prosthetics, Sports & Ergonomics"
372,Real-Time Hand Gesture Recognition by Decoding Motor Unit Discharges Across Multiple Motor Tasks From Surface Electromyography,"HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
373,Single-Channel sEMG-Based Estimation of Knee Joint Angle Using a Decomposition Algorithm With a State-Space Model,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
374,Surface electromyography evaluation of selected manual and physical therapy interventions in women with temporomandibular joint pain and limited mobility. Randomized controlled trial (RCT).,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
375,"Acute intermittent hypoxia enhances strength, and modulates spatial distribution of muscle activation in persons with chronic incomplete spinal cord injury.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
376,Characterizing the Dynamics of Surface Electromyography Signals in Muscle Fatigue Through Visibility Motif Networks,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
377,An Exosuit System With Bidirectional Hand Support for Bilateral Assistance Based on Dynamic Gesture Recognition,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
378,A Novel Exoskeleton Neuromuscular Interface Based on Motor Unit Action Potential Model Using High-Density sEMG,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
379,Graph-Driven Simultaneous and Proportional Estimation of Wrist Angle and Grasp Force via High-Density EMG,"Biomechanics & Kinematics, HCI & Prosthetics"
380,Comparative electromyography analysis of subphase gait disorder in chronic stroke survivors.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
381,Finger Tracking Using Wrist-Worn EMG Sensors,HCI & Prosthetics
382,Tongue brushing enhances the myoelectric activity of the suprahyoid muscles in older adults: a six-week randomized controlled trial.,"Rehabilitation & Therapy, HCI & Prosthetics"
384,Comparative analysis of myoelectric activity and mandibular movement in healthy and nonpainful articular temporomandibular disorder subjects.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
385,Accurate Identification of Motoneuron Discharges From Ultrasound Images Across the Full Muscle Cross-Section,"HCI & Prosthetics, Neurophysiology"
